Event,Date,Location,Disease,Deaths_estimated
1896–1906 Congo Basin African trypanosomiasis epidemic,1896–1906,Congo Basin,African trypanosomiasis,"500,000"
1900–1920 Uganda African trypanosomiasis epidemic,1900–1920,Uganda,African trypanosomiasis,"200,000–300,000"
1563 London plague,1563–1564,"London, England",Bubonic plague,"20,100+"
1582 Tenerife plague epidemic,1582–1583,"Tenerife, Spain",Bubonic plague,"5,000–9,000"
1592–93 Malta plague epidemic,1592–1593,Malta,Bubonic plague,"3,000"
1592–93 London plague,1592–1593,"London, England",Bubonic plague,"19,900+"
1596-1602 Spain plague epidemic,1596–1602,Spain,Bubonic plague,"600,000–700,000"
1603 London plague epidemic,1603,"London, England",Bubonic plague,"40,000"
1609 Egyptian plague epidemic,1609,Egypt,Bubonic plague,1 million
1629–1631 Italian plague,1629–1631,Italy,Bubonic plague,"280,000"
1632–1635 Augsburg plague epidemic,1632–1635,"Augsburg, Germany",Bubonic plague,"13,712"
1637 London plague epidemic,1636–1637,"London and Westminster, England",Bubonic plague,"10,400"
1641–1644 China plague epidemic,1641–1644,China,Bubonic plague,Unknown
Great Plague of Seville,1647–1652,Spain,Bubonic plague,"500,000"
Naples Plague,1656,Italy,Bubonic plague,"1,250,000"
1663–1664 Amsterdam plague epidemic,1663–1664,"Amsterdam, Netherlands",Bubonic plague,"24,148"
Great Plague of London,1665–1666,England,Bubonic plague,"100,000"
1668 France plague,1668,France,Bubonic plague,"40,000"
1675–76 Malta plague epidemic,1675–1676,Malta,Bubonic plague,"11,300"
1676–1685 Spain plague,1676–1685,Spain,Bubonic plague,Unknown
Great Plague of Vienna,1679,"Vienna, Austria",Bubonic plague,"76,000"
1681 Prague plague epidemic,1681,"Prague, Czech Republic",Bubonic plague,"83,000"
Great Northern War plague outbreak,1710–1712,"Denmark, Sweden, Lithuania",Bubonic plague,"164,000"
Great Plague of Marseille,1720–1722,France,Bubonic plague,"100,000+"
Great Plague of 1738,1738,Balkans,Bubonic plague,"50,000"
1743 Sicily plague epidemic,1743,"Messina, Sicily, Italy",Bubonic plague,"40,000–50,000"
Russian plague of 1770–1772,1770–1772,Russia,Bubonic plague,"50,000"
1772–1773 Persian Plague,1772–1773,Persia,Bubonic plague,2 million+
1801 Ottoman Empire and Egypt bubonic plague epidemic,1801,"Ottoman Empire, Egypt",Bubonic plague,Unknown
1812 Egypt bubonic plague epidemic,1812,Egypt,Bubonic plague,Unknown
1812–19 Ottoman plague epidemic,1812–1819,Ottoman Empire,Bubonic plague,"300,000+"
1813–14 Malta plague epidemic,1813–1814,Malta,Bubonic plague,"4,500"
Caragea's plague,1813,Romania,Bubonic plague,"60,000"
1829–1835 Iran plague outbreak,1829–1835,Iran,Bubonic plague,Unknown
1834–1836 Egypt plague epidemic,1834–1836,Egypt,Bubonic plague,Unknown
1853 Ottoman Empire plague epidemic,1853,Ottoman Empire,Bubonic plague,Unknown
Third plague pandemic,1855–1960,Worldwide,Bubonic plague,12 million+ in India and China alone
1876 Ottoman Empire plague epidemic,1876,Ottoman Empire,Bubonic plague,"20,000"
Bombay plague epidemic,1896–1905,"Bombay, India",Bubonic plague,"20,788"
1899 Porto plague outbreak,1899,"Porto, Portugal",Bubonic plague,132
San Francisco plague of 1900–1904,1900–1904,"San Francisco, United States",Bubonic plague,119
1903 Fremantle plague epidemic,1903,Fremantle,Bubonic plague,4
1910 China plague,1910–1912,China,Bubonic plague,"40,000"
1946 China plague epidemic,1946,China,Bubonic plague,Unknown
1984 Western Sahara plague,1984,Western Sahara,Bubonic plague,64
2003 Algeria plague outbreak,2003,Algeria,Bubonic plague,1 (18 cases)
2006 Ituri Province plague epidemic,2006,"Ituri Province, Democratic Republic of the Congo",Bubonic plague,61
2008 Madagascar plague outbreak,2008,Madagascar,Bubonic plague,18+
2014 Madagascar plague outbreak,2014–2017,Madagascar,Bubonic plague,292
1903 India plague epidemic,1903,India,Bubonic Plague,22
Black Death (start of the Second plague pandemic),1346–1353,"Europe, Asia and North Africa",Bubonic plague,75–200 million (10–60% of European population)
,,,Yersinia pestis bacterium,
,,,,
Plague of Justinian,541–542,Europe and West Asia,Bubonic plague (beginning of First plague pandemic),25–100 million (40–50% of population of Europe)
Roman Plague of 590,590,"Rome, Byzantine Empire",Bubonic plague (part of First plague pandemic),Unknown
Plague of Sheroe,627–628,Mesopotamia,Bubonic plague (part of First plague pandemic),Unknown
Plague of 664,664–689,British Isles,Bubonic plague (part of First plague pandemic),Unknown
Plague of 698–701,698–701,"Byzantine Empire, West Asia, Syria, Mesopotamia",Bubonic plague (part of First plague pandemic),Unknown
Plague of 746–747,746–747,"Byzantine Empire, West Asia, Africa",Bubonic plague (part of First plague pandemic),Unknown
1994 plague in India,1994,India,Bubonic plague and Pneumonic plague,56
2013–14 chikungunya outbreak,2013–2015,Americas,Chikungunya,183
Chikungunya outbreaks,2006,India,Chikungunya virus,Unknown (cases very numerous and widespread)
First cholera pandemic,1817–1824,"Asia, Europe",Cholera,"100,000+"
Second cholera pandemic,1826–1837,"Asia, Europe, North America",Cholera,"100,000+"
Third cholera pandemic,1846–1860,Russia,Cholera,1 million+
1853 Copenhagen cholera outbreak,1853,"Copenhagen, Denmark",Cholera,"4,737"
1854 Broad Street cholera outbreak,1854,"London, England",Cholera,616
Fourth cholera pandemic,1863–1875,Middle East,Cholera,"600,000"
Fifth cholera pandemic,1881–1896,"Asia, Africa, Europe, South America",Cholera,"298,600"
Sixth cholera pandemic,1899–1923,"Europe, Asia, Africa",Cholera,"800,000+"
1947 Egypt cholera epidemic,1947,Egypt,Cholera,"10,277"
1991 Bangladesh cholera epidemic,1991,Bangladesh,Cholera,"8,410–9,432"
2001 Nigeria cholera epidemic,2001,Nigeria,Cholera,400+
2001 South Africa cholera epidemic,2001,South Africa,Cholera,139
2004 Senegal cholera outbreak,2004,Senegal,Cholera,2
2006 Luanda cholera epidemic,2006,"Luanda, Angola",Cholera,"1,200+"
2007 Ethiopia cholera epidemic,2007,Ethiopia,Cholera,684
2007 Iraq cholera outbreak,2007,Iraq,Cholera,10
2007 Vietnam cholera outbreak,2007,Vietnam,Cholera,2
2008 Chad cholera epidemic,2008,Chad,Cholera,123
2008 India cholera epidemic,2008,India,Cholera,115
2008–09 Zimbabwean cholera outbreak,2008–2009,Zimbabwe,Cholera,"4,293"
2016–20 Yemen cholera outbreak,2016–present,Yemen,Cholera,"3,886 (as of 30 November 2019)"
Seventh cholera pandemic,1961–1975,Worldwide,Cholera (El Tor strain),Unknown
1973 Italy Cholera El Tor epidemic,1973,Italy,Cholera (El Tor strain),24
2010s Haiti cholera outbreak,2010–2019,Haiti,"Cholera (strain serogroup O1, serotype Ogawa)","10,075"
COVID-19 pandemic,2019–present,Worldwide,COVID-19 / SARS-CoV-2,"445,394 (as of 17 June 2020)"
,,,SARS-CoV-2 virus,
,,,,
1778 Spain dengue fever outbreak,1778,Spain,Dengue fever,Unknown
2000 Central America dengue epidemic,2000,Central America,Dengue fever,40+
2004 Indonesia dengue epidemic,2004,Indonesia,Dengue fever,658
2005 dengue outbreak in Singapore,2005,Singapore,Dengue fever,27
2006 dengue outbreak in India,2006,India,Dengue fever,50+
2006 dengue outbreak in Pakistan,2006,Pakistan,Dengue fever,50+
2006 Philippines dengue epidemic,2006,Philippines,Dengue fever,"1,000"
